V2;V3;V4;V1
-1,56074;-1,25289;1,76856;1
0,73027;-1,022;2,39436;2
1,79673;2,09537;1,37365;3
1,48028;0,90354;-1,22373;4
1,61582;-1,96218;-0,39933;5
1,36081;-1,65044;-0,61204;6
0,82315;1,62738;0,25901;7
0,3576;1,18661;-1,65273;8
-1,35135;1,18998;2,27126;9
-0,90403;-1,32704;2,07015;10
-1,56074;-1,25289;1,76856;1
0,73027;-1,022;2,39436;2
1,79673;2,09537;1,37365;3
1,48028;0,90354;-1,22373;4
1,61582;-1,96218;-0,39933;5
1,36081;-1,65044;-0,61204;6
0,82315;1,62738;0,25901;7
0,3576;1,18661;-1,65273;8
-1,35135;1,18998;2,27126;9
-0,90403;-1,32704;2,07015;10
-1,208366543;-1,483241948;1,498799131;1
0,240287134;-1,087634512;2,469252601;2
1,587407891;2,000722595;0,929548521;3
1,621555908;0,485851763;-1,459479134;4
2,058406006;-1,799710052;-0,232833324;5
1,04754656;-1,668840283;-0,222774735;6
0,510253543;1,762350045;-0,106884649;7
0,793092016;0,952152899;-1,579404892;8
-1,444264183;1,13536637;1,783013847;9
-1,021212287;-1,066028171;2,480200164;10
-1,549237608;-0,971513975;2,181712789;1
1,117290555;-1,252858106;2,610969384;2
1,644458417;2,16672615;1,8445233;3
1,950619943;0,974543148;-1,069655695;4
1,713854705;-2,140175942;-0,85617422;5
1,631972487;-1,407469005;-0,954729366;6
1,278982938;1,783402076;0,3927016;7
0,520631355;0,929183118;-2,04915424;8
-1,193130051;1,625402997;2,083182193;9
-1,300472296;-1,590629607;2,222970237;10
-1,076613349;-1,965535835;1,50460451;1
0,488144937;-1,186431711;2,89210674;2
1,903723608;1,724709087;0,657958922;3
1,524418113;0,569453088;-1,942775179;4
2,064217449;-1,744239961;0,264046235;5
1,049651536;-1,665994151;0,277212734;6
0,692517023;2,055007879;-0,469005369;7
0,951114339;1,414635165;-1,684946823;8
-1,258247423;1,072952911;1,323120027;9
-0,953950568;-1,158698492;2,966911652;10
-1,73760731;-0,67064778;1,82958158;1
1,548564959;-1,389663892;2,398162982;2
1,21200677;1,91632232;1,861360626;3
2,320718989;1,013124186;-0,735682344;4
2,066742431;-1,802651161;-0,748715972;5
2,002729662;-1,075017001;-0,999615692;6
1,260348663;1,545525738;-0,046692997;7
0,972711419;1,122818398;-2,139315174;8
-0,921813776;1,553513788;2,496968878;9
-0,988473372;-1,951092068;2,373713348;10
-0,878207424;-2,421263212;1,450312279;1
0,642023945;-0,724572654;3,006157001;2
1,893959902;1,726257238;0,158056658;3
1,467841398;0,668478991;-2,429594392;4
1,712856421;-1,960028822;0,546854643;5
1,507197726;-1,514911337;0,143700686;6
0,351154042;2,239489145;-0,784343248;7
0,904981809;1,58740224;-1,218017141;8
-1,555815624;0,676983869;1,391396547;9
-0,464999069;-1,239544277;3,033171675;10
-1,90184989;-0,91225909;1,423812743;1
1,807791184;-1,555908509;2,004253739;2
1,169983788;1,9505656;2,358413407;3
1,920805872;1,0720209;-0,441402416;4
2,092408734;-2,058088618;-1,177776511;5
2,190171898;-0,765075091;-1,344291511;6
1,206160314;1,170757212;-0,373208195;7
0,574555023;1,417486374;-2,207449364;8
-0,586867849;1,28067104;2,245238743;9
-0,875313082;-2,30687304;2,041125542;10
-0,988105191;-2,742521807;1,083276319;1
0,983109213;-0,360525935;3,039784761;2
1,786004646;2,214303077;0,17058351;3
1,380713976;0,62417409;-2,919947212;4
1,35353189;-2,033350213;0,886722051;5
1,436944105;-1,027546115;0,230531374;6
0,329163126;2,145090676;-1,274858619;7
1,141281735;2,027145289;-1,189938757;8
-1,342920573;0,625362415;1,8408528;9
-0,591851331;-1,616259948;2,729866867;10
-2,213395306;-0,632658055;1,150385029;1
2,015281858;-1,524657589;1,550413458;2
1,496078206;1,581850708;2,270596782;3
1,763754437;0,918687484;0,007845523;4
2,045762258;-1,612106004;-1,398963342;5
2,398833967;-0,543150269;-0,947794961;6
1,287839089;0,690042209;-0,262566144;7
0,791219566;1,250439236;-2,625960689;8
-0,576473746;1,499392715;1,795735916;9
-0,494879068;-2,148328113;2,324204095;10
-0,784867406;-2,668879608;0,632420213;1
0,527600672;-0,157188823;3,073931326;2
1,594067011;2,267326819;-0,288054067;3
1,145627328;0,33004779;-2,590973067;4
1,811704436;-2,214325211;0,972313921;5
1,487241064;-1,036337559;-0,26685472;6
-0,064485843;2,172854443;-1,581892269;7
1,438313641;2,192369673;-0,823233221;8
-0,802318853;1,239767447;1,203528851;9
-0,093444977;-0,94060381;3,183445274;10
-2,225931098;-0,616603;1,649969946;1
1,784035009;-1,951387777;1,670522749;2
1,843912395;1,393903695;1,964512975;3
1,442587729;0,707009193;0,327289174;4
2,386318445;-1,273538408;-1,538223767;5
1,901932557;-0,574950546;-0,902212827;6
1,53861139;0,645068944;-0,692787782;7
0,2942536;1,26926966;-2,677635092;8
-0,337935257;0,852010318;2,179797545;9
-0,285351327;-2,195478065;1,872678894;10
-0,61965831;-2,676276438;0,160560867;1
0,111618736;-0,362525518;2,887394813;2
2,008246727;2,547296413;-0,296550494;3
0,956942923;0,439542462;-2,141074065;4
2,109246029;-2,446817752;0,644569785;5
1,809355914;-0,745309976;-0,018772135;6
0,544506847;1,960946989;0,506176053;7
1,341744309;1,416893031;-1,997041565;8
-0,986362608;0,338239012;1,639789204;9
-0,91154103;-0,661237369;2,994001544;10
-2,175086823;-0,604100723;2,147220941;1
1,313545442;-2,11553392;1,629344949;2
1,966550027;1,009947908;2,260381129;3
1,361905931;0,236303341;0,475364993;4
2,326248464;-1,238200005;-2,033342737;5
2,165741943;-0,305551956;-0,573839553;6
1,468149676;0,229950566;-0,962439186;7
-0,180071912;1,247055005;-2,834229527;8
-1,792818958;1,24105564;2,500381011;9
-0,646178534;-1,740471715;1,957958922;10
-0,513698277;-3,160697708;0,096463252;1
-0,314531621;-0,147307261;2,738811586;2
1,910909434;2,698797829;0,169896472;3
0,91306626;-0,033619435;-2,296613958;4
2,376623394;-2,257889617;0,266660398;5
2,303645799;-0,694452096;-0,074368764;6
-0,172208642;2,354496404;-2,035105239;7
1,653559625;1,803145605;-1,937207141;8
-1,815676141;0,462713161;1,833968527;9
-0,26570652;-0,913130753;2,714861032;10
-2,318800049;-0,158912085;1,97071716;1
1,319952741;-1,776318268;1,996620987;2
2,178442828;0,762823376;1,880867089;3
1,266646131;0,02510744;0,918447222;4
2,093902549;-0,797700581;-2,077790823;5
2,130853644;0,185327946;-0,662268782;6
1,536979972;0,1418697;-0,47509521;7
0,463654642;0,69218889;-2,485717397;8
-0,594668181;1,76859571;1,374786145;9
-0,365836664;-1,908643614;1,47112179;10
-0,214528507;-2,90710552;0,406605881;1
-0,598847374;0,263942843;2,732654905;2
1,979109104;2,44061735;1,061332646;3
0,459140019;-0,039203009;-2,506184451;4
2,16005679;-2,326698741;-0,178720574;5
1,346625702;-0,997514014;0,72138844;6
0,881770276;1,63283031;0,75553186;7
-0,041935;1,475569117;-1,735642075;8
-0,97326652;0,399758445;2,13581728;9
-1,003380368;-0,920942196;1,795898149;10
-2,190457187;-0,196519356;2,452499064;1
1,159179556;-1,812709444;2,46866724;2
1,205976326;1,965919855;1,363863171;3
0,969715267;-0,153645429;1,278835172;4
1,959324421;-0,354740704;-2,266669819;5
1,832183863;-0,502680529;-1,574495031;6
0,923540175;2,022838136;-0,030013659;7
0,104971225;0,476221787;-2,759038484;8
-0,59602011;1,768793529;0,874788012;9
-0,485451589;-1,078407853;2,18405421;10
-0,61927689;-2,673400308;-0,339430715;1
1,022465815;-0,859427436;2,022618468;2
1,242010576;2,593178874;-0,147069298;3
1,909344705;0,852639954;-1,795680932;4
0,93542374;-2,306940988;0,904988495;5
1,557256467;-0,507421949;-0,379126344;6
0,74865757;1,648071598;1,237246205;7
1,722304845;1,911552275;-1,453965909;8
-1,970506256;-1,176607378;2,356267715;1
2,151560505;-1,132906337;1,271201913;2
2,027607539;0,510944377;1,476137939;3
1,158762292;0,305078779;1,340749009;4
1,983810913;0,116579441;-2,43176898;5
2,180819822;-1,054743581;-0,532847137;6
0,952702693;1,0384176;0,036969159;7
0,510600528;0,816561771;-2,967720997;8
-0,481889134;2,019697167;1,792193553;9
-0,229362937;-1,588293803;2,188407704;10
-1,104311997;-2,311201715;0,773918192;1
0,26456177;-0,649645792;2,229301308;2
1,429781445;2,646760747;0,313225264;3
1,845284594;0,975912459;-2,27599353;4
1,940013697;-1,558805158;0,740294927;5
0,949490665;-2,120175489;0,093672242;6
0,419525867;1,927148727;0,989122667;7
0,888208521;0,928437028;-1,089108647;8
-1,508669462;-0,316672945;2,098448236;1
1,979119547;-1,178092694;2,283362681;2
1,889469467;0,303257798;1,909478634;3
2,395260252;1,147171571;-1,219637102;4
2,3846162;-1,54069268;-1,038299866;5
2,301699626;0,178613208;-1,132126806;6
1,438220753;-0,225863022;-1,165757243;7
0,456621884;1,244965637;-1,166120006;8
-0,569436762;1,940879753;2,278118679;9
-0,590007655;-2,082857417;1,059543222;10
-0,685824234;-2,902139282;-0,779032731;1
0,48265973;-1,542208557;2,5408337;2
2,049862003;2,105713766;-0,527359797;3
1,739405023;1,247536109;-1,477739645;4
1,507869373;-2,410273115;-0,205527981;5
1,699712484;-0,659399719;0,616467286;6
0,715086944;1,55836446;-0,522258661;7
1,039141165;2,474190345;-0,990644948;8
-1,470683309;-0,042710831;2,514983723;1
1,776886191;-1,05373934;1,592685576;2
1,651668119;0,257220496;2,346892724;3
0,852741936;0,242793651;1,731225776;4
1,743951326;-1,970184079;-1,574149684;5
2,444296984;-1,258505436;-0,159938448;6
1,59261524;1,637000479;-0,408951597;7
0,563116621;1,689970027;-2,626521937;8
-0,273357371;0,90441057;1,68676214;9
0,01848641;-1,597317683;1,754254193;10
-0,50128782;-2,989335672;0,891052247;1
1,022454871;-0,332117111;2,542145476;2
2,111734614;2,033317951;-1,018206642;3
0,433834091;-0,054053988;-3,005322767;4
1,046819617;-1,755986439;1,167785956;5
0,519578805;-2,091568896;0,347359954;6
-0,041884024;1,990819032;-0,977328331;7
-0,428576055;1,417308033;-2,047273814;8
-1,346472734;-0,274162003;2,940427124;1
1,482463696;-2,567476238;1,4981399;2
1,870076472;1,475508025;1,471911539;3
2,82318778;0,907878119;-1,31770175;4
1,704085444;-0,292473489;-2,692082394;5
2,22545419;0,367277722;-1,588845904;6
0,943403884;1,022449348;0,53662759;7
-0,507144177;0,88068363;-2,928015181;8
-0,632351972;1,717093656;0,378796964;9
-0,287696334;-1,015867227;1,729101983;10
-0,025084872;-2,818921513;0,860846665;1
0,223449693;-1,092386264;1,969558773;2
1,448724059;2,671300182;0,812263332;3
0,616683753;-0,512044821;-3,087847902;4
1,263412083;-2,788492283;-0,422762633;5
2,182275425;-0,556832596;0,6977876;6
-0,482115887;1,904264342;-1,523202373;7
0,050537786;1,737538856;-2,151359094;8
-1,759842502;-0,442651465;2,515665334;1
2,237426443;-1,024733095;1,785198729;2
