x;y;z;id
277,1573734;-89,85739779;76,22241797;2
-373,2298446;410,450282;225,0864132;2
-530,8548857;242,342636;135,0523204;2
575,7137599;-35,85615855;-53,84463547;2
15,63219661;-545,1468924;41,64546339;2
144,0783813;468,2244782;-110,3468221;2
-99,77619527;150,5547362;571,4010752;2
-510,4288098;-218,8990866;59,54517875;2
-420,644671;140,2695364;178,6331161;2
-192,9394947;-409,0510172;300,5012569;2
247,5523674;-162,3331516;-116,7291517;2
-350,031739;-118,4309537;393,0124832;2
-202,136614;492,023439;239,2593716;2
-398,9495938;22,70339583;64,98120417;2
577,4374592;58,06591398;41,97699006;2
-519,0835551;-181,060378;-222,0264561;2
-536,8465106;15,18916896;208,5013736;2
323,360603;-5,907006594;-284,4458518;2
-560,8580056;-152,1405425;20,5736759;2
-69,57791392;0,175066947;-383,0006212;2
-259,3586683;219,7029554;-156,7794488;2
-28,21250372;-278,3172936;94,67696223;2
-436,1727666;-147,7494843;288,6614293;2
75,49698288;-397,5716292;330,8622332;2
-318,9625206;214,9516607;-130,4167266;2
-590,3552592;103,502706;-6,284061831;2
170,6300206;-346,3813617;126,5433066;2
566,3403159;78,44914405;72,27188341;2
-31,70041759;-362,6410422;-101,2710891;2
324,0194938;-48,28388138;-443,3561861;2
-201,2224822;-172,8851208;294,1837732;2
398,9783633;-120,4710479;185,4445926;2
-291,2462851;-320,2693935;-410,9205788;2
264,9711854;474,1884447;-127,9904466;2
418,7837516;100,6691619;-25,81161962;2
513,5108599;203,0711953;-68,99128536;2
327,3791366;215,6065319;-44,26101257;2
20,99359743;-438,7557941;403,5064569;2
-533,6798541;-195,8890902;71,15171316;2
481,9342288;-338,0543287;86,53411674;2
-297,888308;-162,2055353;-306,9607776;2
296,2275331;-519,089278;-14,77757097;2
304,8902054;122,2516793;280,4024546;2
233,4640039;336,4210138;-388,2541514;2
455,1086272;-12,18973845;-307,7497066;2
594,9328258;-16,43098538;44,52970651;2
15,12042722;419,1349511;395,4699784;2
468,2516626;-118,4492898;305,9570311;2
137,2644922;-377,1451134;-388,5055534;2
426,8519036;-164,1164317;308,39227;2
353,5355989;83,05893492;-362,669185;2
413,9870977;-390,5646882;103,0708424;2
-24,75429308;409,1935807;-288,6882056;2
-476,0543841;-32,27358432;-80,95471686;2
589,3151966;-59,84509319;20,16695364;2
161,9224504;-144,2442151;-463,8824684;2
28,00288713;66,13003714;536,5257692;2
563,6412174;-54,72694579;72,24671806;2
59,77886952;-498,1072318;30,39253849;2
-346,4862775;-0,216405997;-233,0315326;2
-590,3259762;-5,874919418;-73,16499283;2
570,6863629;-5,581776534;51,88895909;2
-524,667674;164,665757;237,9749703;2
-60,94773989;-384,0673966;-348,6669719;2
-105,5698419;332,0779751;242,8244963;2
-161,6309325;-249,294169;-342,0083752;2
439,2922844;49,24650102;-26,98841025;2
-31,0044704;430,6842354;150,5751907;2
321,6905943;111,5860253;-310,8067053;2
534,2166292;129,7840962;-226,1979545;2
-588,9853413;-14,80637868;-87,96164642;2
-578,1152518;-157,0007661;-20,54124587;2
198,6450663;497,2382985;202,0097149;2
-20,96171407;-566,1325666;-68,5203245;2
-355,7295509;-150,8481731;-193,7149302;2
-496,7115903;-196,259183;-42,80583417;2
258,4748056;346,3526627;190,1602472;2
594,2668436;34,46374479;-17,92991191;2
506,6280956;-53,54347644;-303,7015044;2
-497,4192007;60,12549834;316,6454966;2
-388,4014067;-409,4414876;-39,91613547;2
307,352846;-281,1323035;-296,6248325;2
-350,2117035;-68,59629327;85,54764752;2
-363,1303674;467,4920932;-24,51605246;2
567,4497231;11,27396577;-155,0982011;2
116,4654703;-464,2666467;51,26270451;2
362,6242186;202,307229;-411,8825594;2
147,803061;77,83933483;428,3256739;2
14,25755918;167,3847877;487,6197062;2
497,7010871;-289,9740636;148,5684537;2
359,5548713;174,1935632;107,9538595;2
321,3870934;283,852037;-169,2627099;2
-13,99569456;14,59616448;-563,6622116;2
-464,1618275;-41,79022902;293,9278137;2
-301,5685245;45,34780447;-492,2241387;2
160,8107451;-404,987225;157,6515659;2
-104,8206146;461,9798505;243,190977;2
-219,3114409;-554,8426627;-21,21303247;2
-495,3031573;-205,5945747;-99,76625288;2
469,5434405;245,2497877;-110,2636825;2
29,02262751;381,5290496;-272,8193068;2
564,749149;-78,75674502;6,096892509;2
151,7221131;164,8619719;340,5758444;2
581,0528602;-81,88953223;-4,845195024;2
-277,913123;-290,9595547;-1,895165333;2
167,41145;34,79666764;-108,7296701;2
178,3236774;-223,8837891;82,2600825;2
569,2734442;176,399193;33,6734432;2
275,423807;-488,5761189;-115,5442878;2
-478,4857132;229,7076413;-241,7515982;2
563,8903334;23,81963428;-61,07150006;2
-227,8148741;394,5817662;-159,2999711;2
-387,9243733;291,6518422;-283,2070111;2
-308,5621613;446,9869324;198,5461682;2
-52,70761186;52,95765773;-159,9565248;2
410,5256033;-347,9402773;201,5059622;2
-93,4144998;-238,4010824;422,1689284;2
52,58149328;581,738726;-70,01978877;2
-563,4909675;191,5231774;16,26441465;2
478,8208089;182,5787082;-43,25748899;2
-209,5741457;150,3023066;-502,85336;2
161,4060449;-443,7806635;185,1724273;2
477,5141029;355,4961956;3,711905479;2
-459,6758902;-196,4043271;185,001041;2
405,9052759;-375,3800862;30,01446982;2
326,5169495;-442,1608969;-121,5177336;2
-10,34529777;-459,5605498;-152,1878639;2
-188,9357267;371,8888724;18,01190041;2
496,3957398;-147,7289899;74,70989286;2
-402,6859467;135,2632581;113,5724804;2
69,49688634;-490,2014405;-214,3154308;2
-317,8124417;58,80510659;-424,0045101;2
-292,3216819;-366,0488859;-139,9788115;2
515,7545859;37,92960214;-179,9664716;2
555,1280692;-156,3838959;160,8025936;2
-233,4804489;296,3721437;0,37705595;2
-12,36603856;-244,5836169;107,6880125;2
-482,3049037;-161,6389431;-298,1773488;2
94,54131229;-172,017497;-526,5965728;2
-31,37144577;-211,9753026;-194,4199633;2
86,3160518;-238,1439312;-327,8169581;2
509,7010651;-120,5515827;-226,6947864;2
194,0374422;-300,8126692;-469,4114599;2
-307,8343372;-335,5177607;-84,04413754;2
462,5991446;85,34712105;-76,65214805;2
-539,5424883;-177,1184084;110,4057725;2
-133,473948;526,0129906;-69,03554625;2
283,7355324;371,8704651;331,6708048;2
-278,7323979;-301,4661711;-122,3108913;2
293,0213135;-301,3579419;-159,699542;2
200,2005016;356,4919782;-147,6388775;2
562,690184;-89,81587279;81,70291104;2
347,4128125;-304,9796306;-31,60154336;2
170,9294323;-524,7588702;48,15199407;2
-296,8763656;188,2617828;145,5169636;2
-241,3098668;-434,0914509;-161,8684497;2
260,3816497;507,5383466;-1,763558441;2
205,7017545;-519,9102523;3,125410528;2
-2,851019986;116,7079711;280,8316319;2
-308,03544;23,07901619;503,6943907;2
-452,7291519;62,40407865;207,1228206;2
-69,79169017;-565,0144795;-42,34819993;2
551,6856213;207,0828942;-78,920939;2
-111,6363044;54,36336699;114,4844855;2
62,61538519;-87,2367691;356,3857186;2
-358,5437279;106,9126159;-285,9090616;2
-321,0695338;-492,1578018;40,23098499;2
-361,2696885;-55,85373507;381,6041926;2
118,6550958;111,870011;-246,8683535;2
252,5848389;-308,488856;-32,53862127;2
273,8989136;76,71216463;144,9245879;2
-519,0632894;73,66517147;-218,0965338;2
-181,1853728;-127,8561081;-429,5434524;2
-224,19551;-471,0591909;131,748259;2
339,9209602;331,4923595;37,32488422;2
-464,8768941;125,7884459;-312,4391231;2
-562,8285689;148,9803411;60,03422824;2
-424,9963707;-328,0855226;105,0675229;2
-313,541242;410,6370865;-229,8298822;2
-194,5601746;42,15433119;274,7822051;2
111,8567593;-134,9494103;-195,0664667;2
572,1097838;162,7161413;56,82415455;2
294,4582251;482,8250294;5,664952371;2
-341,1805744;289,1310033;-121,6542133;2
-14,00955655;234,4779221;-143,2861082;2
-303,3374478;-344,8632304;-289,3170045;2
127,7217443;-83,72679472;-273,7405857;2
48,03340696;-569,6021598;-172,5362488;2
-221,8020944;-27,27669961;238,9371371;2
402,2438362;129,4095557;195,1769873;2
-465,1199964;0,811468968;208,8367267;2
573,5556537;30,91586538;151,8166394;2
399,2579215;-146,1956563;11,2889266;2
-231,638077;5,1837301;162,3330693;2
77,56893234;-479,3381336;10,10956882;2
-282,4032378;389,906253;270,4514831;2
-476,6840505;125,7105069;-24,67237879;2
226,9005664;-47,00650461;38,56724158;2
-134,8194002;41,28269618;-462,8608927;2
121,8234245;-149,8977183;-230,5285782;2
486,4220425;116,2756453;-276,9133424;2
-217,6627195;-487,2296641;-258,1056315;2
218,5255031;193,1270509;-524,1717986;2
-325,5105271;-490,6297163;61,79615727;2
-105,4802765;104,1742374;69,71269136;2
102,3601248;-167,6214655;-28,08775873;2
331,1791264;70,2548876;-224,7251322;2
245,6357234;363,4563936;-167,8957986;2
-498,4617854;269,9088469;169,9435752;2
383,7738049;-453,4465619;-51,36224089;2
390,5493353;-450,5203762;0,610141144;2
-223,678741;130,567851;29,78819991;2
297,1434368;10,68835465;-240,0815246;2
415,4043403;191,4949776;97,79482826;2
-482,8814389;-85,85779276;-273,9048314;2
-130,8409338;-215,1106628;208,1444939;2
-309,9975103;-507,5191856;37,65687744;2
267,0577859;-193,9242659;397,4699661;2
473,3223846;-98,24272288;69,30482369;2
283,721519;364,2770466;38,80564007;2
596,8167694;13,24617065;-46,29795755;2
-254,9299895;-413,3863682;161,5556063;2
274,5362244;-64,11242648;-27,12548276;2
-404,8701173;118,0392578;-347,1504328;2
-528,8695506;-99,28318858;-124,2109549;2
44,91404369;-593,31199;21,85862166;2
24,53270489;-201,7316346;70,74439603;2
215,1042919;194,5113817;-494,212351;2
369,5411682;177,5663097;38,20962218;2
125,465959;-242,7106639;-286,0953397;2
-140,5350236;389,9514192;367,2642328;2
-215,9662901;92,20058551;-377,7339488;2
283,479237;-230,437287;29,67319339;2
-323,9318389;388,1770262;252,9565232;2
60,01991127;526,7150105;122,3712174;2
457,1551907;-280,8833292;213,5025925;2
-352,2647861;174,6235156;295,9927646;2
-84,52768838;-561,2136648;-178,4160838;2
532,6076768;159,0968945;32,11141015;2
223,7211001;37,16712991;-214,6456731;2
-528,6491691;-273,4815328;-41,58682004;2
-195,7169719;517,5283656;151,300787;2
-418,4229964;277,4222361;121,5183423;2
-340,5060316;-432,5375194;-85,16015124;2
-13,62756528;560,0230829;-41,70814616;2
-386,4885153;-340,1559153;71,63809113;2
99,15545471;58,41471562;-319,6638645;2
-143,8692234;472,8488363;209,0956596;2
560,1590132;173,3858436;93,83420501;2
-132,7111504;29,63809996;-509,3939269;2
-435,2796955;199,9765585;-118,1001315;2
308,9324685;-481,4061542;130,0065337;2
-204,1717985;246,5499856;138,8001356;2
-498,8118994;-81,35305955;-277,5982274;2
-110,3233011;-72,61901303;50,39444288;2
429,0131701;-317,4504141;229,604588;2
-522,3405465;3,453567509;-123,4766705;2
538,8171265;-96,07098987;-130,9429015;2
-168,2727548;550,9313593;-113,241339;2
-110,0938302;-9,641527125;-144,9798959;2
-561,9231281;-59,18642509;-31,13314952;2
-416,6990887;33,43774446;-51,42016559;2
-44,56859641;190,2224741;564,6611169;2
-249,7032154;401,9267984;-22,68052505;2
-309,9244324;103,1369636;-35,85589782;2
118,6561936;-0,451323504;-501,8647911;2
-94,94012883;429,407004;-206,5986537;2
344,5046861;-106,0686549;-455,3943612;2
406,3252841;411,7458244;153,1236112;2
-212,3519842;98,74478656;-550,1738847;2
345,7290642;-26,61930603;-267,8179216;2
-243,2237514;269,4621841;453,7281412;2
345,0384216;-110,3771026;286,2838798;2
286,0192847;30,0714201;0,89327243;2
-221,5523645;-186,5753649;30,95437523;2
-421,7525739;-150,3421323;-31,03253345;2
463,9021226;174,5398699;103,7395274;2
546,2921279;-95,65928567;118,8116247;2
182,7973589;545,5809287;-36,56802007;2
-275,1458209;-137,251293;-11,69392173;2
-181,5913693;506,8288081;-152,0431431;2
-354,7082132;-421,9047459;-172,2420578;2
-434,9168357;-375,5513272;156,9278167;2
263,5433924;-510,3625574;-124,2591944;2
-492,5310505;-340,3705626;29,34885344;2
50,67868056;-411,4407128;286,6945758;2
146,0973565;-206,1519734;-388,9053614;2
552,5403972;-170,1406581;-101,6471247;2
128,8431703;297,6312363;-243,0223728;2
-42,39206733;-537,1146557;161,44509;2
292,5529297;377,0668336;-75,90413082;2
66,4404178;196,5174591;-336,9000663;2
-286,9697526;-230,2141928;92,74344514;2
382,6141519;-184,6097014;-72,35145535;2
181,3004572;-244,0987045;405,9015499;2
31,67347899;-348,0127212;227,5214302;2
-91,70708489;-281,736995;-327,5827701;2
-545,1229454;-21,18966017;-215,860107;2
188,0072798;-386,4775352;-370,6060581;2
-512,0278046;-156,0292509;22,71259412;2
-289,6753323;301,6779622;-2,855101369;2
-185,1552509;567,7783094;17,4291827;2
-121,7338239;117,394944;545,4331506;2
440,3343835;-112,9019831;280,3142088;2
-523,4737661;-111,8335522;28,60076529;2
-139,9591547;-34,11018314;493,3058173;2
-228,0260679;-326,7599515;209,6205848;2
301,5392725;-178,6679769;340,0937469;2
-124,0628181;-50,97178569;-563,9478241;2
315,9285718;-230,7828555;68,60152437;2
463,3951784;-341,1882536;-135,9787026;2
339,8673118;-54,99571558;-300,6148895;2
-20,57495294;61,55376441;63,4444466;2
599,4281684;6,78108203;13,97950926;2
590,0177591;-29,62038238;-95,85691945;2
342,3224618;51,09285462;-130,097474;2
-456,7574744;203,3053158;-232,3141631;2
-353,1506846;-468,2772788;119,7850379;2
-484,5801825;65,63428707;-256,6042854;2
39,629672;146,131095;424,6640957;2
